emp_length,annual_income,debt_to_income,annual_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_amount,term,interest_rate,installment,grade,default,is_joint_app,ever_delinquent,ever_90d_late,loan_income_ratio,installment_to_income,credit_utilization_rate,credit_age,homeownership_OWN,homeownership_RENT,verified_income_Source Verified,verified_income_Verified,loan_purpose_credit_card,loan_purpose_debt_consolidation,loan_purpose_home_improvement,loan_purpose_house,loan_purpose_major_purchase,loan_purpose_medical,loan_purpose_moving,loan_purpose_other,loan_purpose_small_business,loan_purpose_vacation,application_type_joint,verification_income_joint_Not Verified,verification_income_joint_Source Verified,verification_income_joint_Verified,initial_listing_status_whole,disbursement_method_DirectPay
10.0,210000.0,9.53,0.0,0.0,0,999.0,2003,2,18,7,322046,73705,0,0,999.0,0,0,4,6,2.0,7,0.0,0,2,17500,6,2,2,5,100.0,0,0,5000,36,26.77,203.51,5,0,0,0,0,0.023809523809523808,0.0009690952380952381,0.2288648205535855,21,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1.0,83000.0,18.44,0.0,0.0,3,14.0,2005,1,11,6,555154,39482,0,0,22.0,0,0,1,1,8.0,6,0.0,0,3,8300,7,4,3,2,63.6,0,0,20000,60,15.05,476.33,3,0,0,1,1,0.24096385542168675,0.005738915662650603,0.0711190048166815,19,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10.0,140000.0,13.82,0.0,0.0,0,999.0,1993,2,21,12,631258,69647,0,0,999.0,0,0,2,5,0.0,12,0.0,0,1,58100,13,9,3,2,100.0,0,0,15000,60,9.93,318.19,2,0,0,0,0,0.10714285714285714,0.002272785714285714,0.11033048294041423,31,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.0,70000.0,0.0,0.0,0.0,0,31.0,2004,0,13,3,30400,92,0,0,999.0,0,0,0,0,999.0,3,0.0,0,0,0,11,3,1,0,92.3,0,0,2400,36,6.08,73.1,1,0,0,1,0,0.03428571428571429,0.0010442857142857142,0.0030263157894736843,20,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
10.0,70000.0,17.06,105000.0,13.27,0,102.0,1988,2,21,14,363649,29954,0,0,102.0,0,0,3,4,7.0,14,0.0,0,3,12900,15,10,7,2,95.2,0,0,24000,60,15.04,571.47,3,1,1,1,1,0.34285714285714286,0.008163857142857143,0.08237063762034269,36,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False
2.0,44000.0,24.77,0.0,0.0,0,999.0,2011,8,16,9,56476,40706,0,0,999.0,0,167,3,7,3.0,9,0.0,0,2,9500,8,6,5,0,100.0,0,0,7200,36,14.08,246.36,3,0,0,0,0,0.16363636363636364,0.0055990909090909095,0.7207663432254409,13,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
4.0,63000.0,15.3,0.0,0.0,0,78.0,2002,3,22,11,33048,20366,0,1,999.0,0,0,2,9,8.0,11,0.0,0,2,2300,14,9,8,0,100.0,0,1,10000,36,16.02,351.67,3,1,0,1,0,0.15873015873015872,0.005582063492063492,0.6162551440329218,22,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10.0,40000.0,19.44,0.0,0.0,0,999.0,2000,1,26,13,38688,17445,0,1,999.0,0,148,2,10,5.0,13,0.0,0,2,11800,18,11,8,1,100.0,0,1,16000,60,25.82,477.35,5,0,0,0,0,0.4,0.01193375,0.45091501240694787,24,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,51000.0,17.25,0.0,0.0,0,999.0,1994,1,12,8,52441,38608,0,1,999.0,0,0,2,7,6.0,8,0.0,0,4,20300,8,6,4,1,100.0,0,1,12000,36,15.05,416.28,3,0,0,0,0,0.23529411764705882,0.00816235294117647,0.736217844816079,30,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10.0,85000.0,26.49,0.0,0.0,0,999.0,1995,0,28,20,117100,53291,0,0,999.0,0,0,1,4,999.0,20,0.0,0,9,70400,24,19,10,1,100.0,0,0,25000,36,6.72,768.74,1,0,0,0,0,0.29411764705882354,0.009044,0.45508966695132363,29,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10.0,318000.0,8.37,0.0,0.0,0,999.0,2002,9,8,7,125809,90942,0,1,999.0,0,0,4,3,7.0,7,0.0,0,2,7100,4,3,2,0,100.0,0,1,25000,60,19.03,648.93,4,0,0,0,0,0.07861635220125786,0.0020406603773584905,0.7228576651908846,22,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
9.0,88000.0,13.04,0.0,0.0,0,58.0,1998,2,41,11,39353,24021,0,0,58.0,0,0,1,4,5.0,11,0.0,0,1,3000,31,10,4,1,100.0,0,0,10000,36,7.97,313.23,1,0,0,1,1,0.11363636363636363,0.0035594318181818184,0.6103981907351409,26,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.0,69000.0,27.74,0.0,0.0,0,63.0,2008,5,23,16,95775,48638,0,0,999.0,0,0,4,11,1.0,16,0.0,0,6,26500,14,12,8,0,95.7,0,0,10000,36,19.42,368.69,4,0,0,1,0,0.14492753623188406,0.005343333333333334,0.5078360741320804,16,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.0,84000.0,7.57,0.0,0.0,0,999.0,2007,1,8,2,38401,35702,0,0,999.0,0,0,1,1,1.0,2,0.0,0,1,3000,6,1,1,0,100.0,0,0,35000,60,11.99,778.38,2,1,0,0,0,0.4166666666666667,0.009266428571428571,0.9297153719955209,17,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
